dive_id,mode,date,depth,time,max_depth,depth_minus,max_depth_minus,duration,temp,date_lub,date_lub_min,date_day
12,3,2023-01-20 11:32:46,8.58,16,10.38,-8.58,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
12,3,2023-01-20 11:32:46,9.34,18,10.38,-9.34,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
12,3,2023-01-20 11:32:46,9.44,20,10.38,-9.44,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
12,3,2023-01-20 11:32:46,9.83,22,10.38,-9.83,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
12,3,2023-01-20 11:32:46,9.93,24,10.38,-9.93,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
12,3,2023-01-20 11:32:46,10.11,26,10.38,-10.11,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
12,3,2023-01-20 11:32:46,10.27,28,10.38,-10.27,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
12,3,2023-01-20 11:32:46,9.97,30,10.38,-9.97,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
12,3,2023-01-20 11:32:46,8.57,32,10.38,-8.57,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
12,3,2023-01-20 11:32:46,8.06,34,10.38,-8.06,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
12,3,2023-01-20 11:32:46,5.95,36,10.38,-5.95,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
12,3,2023-01-20 11:32:46,5.72,38,10.38,-5.72,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
12,3,2023-01-20 11:32:46,4.61,40,10.38,-4.61,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
12,3,2023-01-20 11:32:46,3.15,42,10.38,-3.15,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
12,3,2023-01-20 11:32:46,2.84,44,10.38,-2.84,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
12,3,2023-01-20 11:32:46,1.76,46,10.38,-1.76,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
